Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2017",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.2, 3",,"170,995", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,"City of Abilene2, 3","122,981", 636 , 4 , 100 , 138 , 394 ,,," 2,605 ", 260 
,Total area actually reporting,100.0%, 753 , 7 , 120 , 143 , 483 ,,," 2,938 ", 301 
,"Rate per 100,000 inhabitants",,440.4,4.1,70.2,83.6,282.5,,,"1,718.2",176.0
"Akron, OH M.S.A.4",,"703,907", ,,,,, ,,,
,Includes Portage4 and Summit Counties,,,,,,,,,,
,City of Akron,"197,412"," 1,377 ", 42 , 209 , 395 , 731 ," 8,360 "," 2,301 "," 5,304 ", 755 
,Total area actually reporting,96.3%," 1,911 ", 51 , 335 , 494 ," 1,031 "," 17,340 "," 3,681 "," 12,587 "," 1,072 "
,Estimated total,100.0%," 1,952 ", 52 , 344 , 506 ," 1,050 "," 17,886 "," 3,764 "," 13,024 "," 1,098 "
,"Rate per 100,000 inhabitants",,277.3,7.4,48.9,71.9,149.2,"2,541.0",534.7,"1,850.2",156.0
"Albany, GA M.S.A.",,"151,534", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"73,209", 827 , 22 , 27 , 152 , 626 ," 4,116 ", 879 ," 3,048 ", 189 
,Total area actually reporting,96.0%," 1,079 ", 23 , 55 , 186 , 815 ," 5,773 "," 1,229 "," 4,289 ", 255 
,Estimated total,100.0%," 1,101 ", 23 , 57 , 192 , 829 ," 5,966 "," 1,259 "," 4,436 ", 271 
,"Rate per 100,000 inhabitants",,726.6,15.2,37.6,126.7,547.1,"3,937.1",830.8,"2,927.4",178.8
"Albany, OR M.S.A.2",,"124,014", ,,,,, ,,,
,Includes Linn County2,,,,,,,,,,
,City of Albany2,"53,701", 56 , 0 , 8 , 20 , 28 ," 1,406 ", 158 ," 1,137 ", 111 
,Total area actually reporting,100.0%, 196 , 2 , 41 , 26 , 127 ," 3,159 ", 489 ," 2,368 ", 302 
,"Rate per 100,000 inhabitants",,158.0,1.6,33.1,21.0,102.4,"2,547.3",394.3,"1,909.5",243.5
"Albany-Schenectady-Troy, NY M.S.A.",,"885,673",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"98,174", 876 , 8 , 54 , 247 , 567 ," 3,394 ", 432 ," 2,853 ", 109 
,City of Schenectady,"64,710", 577 , 2 , 58 , 141 , 376 ," 2,057 ", 348 ," 1,534 ", 175 
,City of Troy,"49,644", 351 , 6 , 31 , 114 , 200 ," 1,732 ", 370 ," 1,272 ", 90 
,Total area actually reporting,100.0%," 2,579 ", 18 , 361 , 640 ," 1,560 "," 17,312 "," 2,279 "," 14,376 ", 657 
,"Rate per 100,000 inhabitants",,291.2,2.0,40.8,72.3,176.1,"1,954.7",257.3,"1,623.2",74.2
"Albuquerque, NM M.S.A.",,"915,069", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"561,375"," 7,686 ", 70 , 473 ," 2,930 "," 4,213 "," 41,350 "," 6,996 "," 26,670 "," 7,684 "
,Total area actually reporting,100.0%," 9,928 ", 81 , 607 ," 3,180 "," 6,060 "," 50,319 "," 9,056 "," 32,128 "," 9,135 "
,"Rate per 100,000 inhabitants",,"1,084.9",8.9,66.3,347.5,662.2,"5,498.9",989.7,"3,511.0",998.3
"Alexandria, LA M.S.A.",,"154,181", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"47,860", 690 , 17 , 9 , 129 , 535 ," 4,197 ", 987 ," 2,953 ", 257 
,Total area actually reporting,85.8%," 1,047 ", 20 , 28 , 154 , 845 ," 6,774 "," 1,652 "," 4,731 ", 391 
,Estimated total,100.0%," 1,124 ", 21 , 33 , 167 , 903 ," 7,345 "," 1,777 "," 5,142 ", 426 
,"Rate per 100,000 inhabitants",,729.0,13.6,21.4,108.3,585.7,"4,763.9","1,152.5","3,335.0",276.3
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"838,894",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","120,823", 557 , 16 , 70 , 269 , 202 ," 3,302 ", 634 ," 2,362 ", 306 
,"City of Bethlehem, PA","75,336", 594 , 0 , 29 , 61 , 504 ," 1,359 ", 187 ," 1,124 ", 48 
,Total area actually reporting,99.2%," 1,980 ", 26 , 176 , 496 ," 1,282 "," 13,889 "," 1,934 "," 11,166 ", 789 
,Estimated total,100.0%," 1,992 ", 26 , 177 , 499 ," 1,290 "," 13,984 "," 1,945 "," 11,246 ", 793 
,"Rate per 100,000 inhabitants",,237.5,3.1,21.1,59.5,153.8,"1,667.0",231.9,"1,340.6",94.5
"Altoona, PA M.S.A.",,"124,337", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"44,366", 120 , 0 , 33 , 31 , 56 , 918 , 167 , 708 , 43 
,Total area actually reporting,100.0%, 252 , 0 , 67 , 41 , 144 ," 1,765 ", 249 ," 1,447 ", 69 
,"Rate per 100,000 inhabitants",,202.7,0.0,53.9,33.0,115.8,"1,419.5",200.3,"1,163.8",55.5
"Amarillo, TX M.S.A.",,"264,936", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"200,993"," 1,518 ", 16 , 183 , 237 ," 1,082 "," 8,787 "," 1,684 "," 6,113 ", 990 
,Total area actually reporting,100.0%," 1,680 ", 17 , 220 , 243 ," 1,200 "," 9,507 "," 1,840 "," 6,584 "," 1,083 "
,"Rate per 100,000 inhabitants",,634.1,6.4,83.0,91.7,452.9,"3,588.4",694.5,"2,485.1",408.8
"Ames, IA M.S.A.",,"98,260", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"67,461", 124 , 1 , 49 , 23 , 51 ," 1,392 ", 248 ," 1,087 ", 57 
,Total area actually reporting,93.1%, 162 , 1 , 62 , 25 , 74 ," 1,777 ", 322 ," 1,381 ", 74 
,Estimated total,100.0%, 178 , 1 , 65 , 26 , 86 ," 1,901 ", 347 ," 1,473 ", 81 
,"Rate per 100,000 inhabitants",,181.2,1.0,66.2,26.5,87.5,"1,934.7",353.1,"1,499.1",82.4
"Anchorage, AK M.S.A.",,"313,465", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"296,188"," 3,564 ", 27 , 391 , 778 ," 2,368 "," 16,041 "," 2,216 "," 10,721 "," 3,104 "
,Total area actually reporting,100.0%," 3,645 ", 28 , 392 , 789 ," 2,436 "," 17,057 "," 2,283 "," 11,495 "," 3,279 "
,"Rate per 100,000 inhabitants",,"1,162.8",8.9,125.1,251.7,777.1,"5,441.4",728.3,"3,667.1","1,046.0"
"Ann Arbor, MI M.S.A.",,"368,898", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"121,930", 259 , 0 , 57 , 53 , 149 ," 2,108 ", 278 ," 1,731 ", 99 
,Total area actually reporting,100.0%," 1,206 ", 11 , 233 , 179 , 783 ," 6,029 ", 864 ," 4,753 ", 412 
,"Rate per 100,000 inhabitants",,326.9,3.0,63.2,48.5,212.3,"1,634.3",234.2,"1,288.4",111.7
"Anniston-Oxford-Jacksonville, AL M.S.A.",,"113,915",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"21,955", 754 , 14 , 47 , 71 , 622 ," 1,352 ", 542 , 700 , 110 
,City of Oxford,"16,937", 48 , 1 , 0 , 7 , 40 , 884 , 94 , 756 , 34 
,City of Jacksonville,"12,573", 113 , 2 , 10 , 12 , 89 , 489 , 137 , 325 , 27 
,Total area actually reporting,99.3%, 976 , 17 , 71 , 98 , 790 ," 3,242 ", 955 ," 2,095 ", 192 
,Estimated total,100.0%, 980 , 17 , 71 , 99 , 793 ," 3,267 ", 959 ," 2,114 ", 194 
,"Rate per 100,000 inhabitants",,860.3,14.9,62.3,86.9,696.1,"2,867.9",841.9,"1,855.8",170.3
"Appleton, WI M.S.A.",,"235,528", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"74,660", 203 , 1 , 39 , 17 , 146 ," 1,155 ", 136 , 996 , 23 
,Total area actually reporting,100.0%, 331 , 2 , 55 , 30 , 244 ," 2,905 ", 340 ," 2,479 ", 86 
,"Rate per 100,000 inhabitants",,140.5,0.8,23.4,12.7,103.6,"1,233.4",144.4,"1,052.5",36.5
"Asheville, NC M.S.A.4",,"457,928", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties4",,,,,,,,,,
,City of Asheville4,"90,103",, 7 ,, 181 , 363 ," 4,248 ", 733 ," 3,191 ", 324 
,Total area actually reporting,99.2%,, 16 ,, 275 , 712 ," 9,645 "," 2,492 "," 6,410 ", 743 
,Estimated total,100.0%,, 16 ,, 277 , 718 ," 9,745 "," 2,510 "," 6,488 ", 747 
,"Rate per 100,000 inhabitants",,,3.5,,60.5,156.8,"2,128.1",548.1,"1,416.8",163.1
"Athens-Clarke County, GA M.S.A.",,"207,610", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"124,903", 519 , 6 , 57 , 123 , 333 ," 3,930 ", 683 ," 3,017 ", 230 
,Total area actually reporting,100.0%, 639 , 7 , 72 , 135 , 425 ," 5,345 ", 922 ," 4,133 ", 290 
,"Rate per 100,000 inhabitants",,307.8,3.4,34.7,65.0,204.7,"2,574.5",444.1,"1,990.8",139.7
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,"5,882,917",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"481,343"," 4,504 ", 79 , 282 ," 1,413 "," 2,730 "," 22,991 "," 3,390 "," 16,304 "," 3,297 "
,City of Sandy Springs,"107,740", 126 , 0 , 12 , 56 , 58 ," 2,263 ", 377 ," 1,708 ", 178 
,City of Roswell,"95,602", 108 , 2 , 15 , 32 , 59 ," 1,616 ", 229 ," 1,278 ", 109 
,City of Alpharetta,"66,711", 34 , 0 , 1 , 22 , 11 ," 1,187 ", 96 ," 1,056 ", 35 
,City of Marietta,"61,646", 215 , 4 , 14 , 102 , 95 ," 2,209 ", 327 ," 1,700 ", 182 
