Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2014",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"169,202", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"120,686",571,7,93,128,343,"5,344","1,095","3,887",362
,Total area actually reporting,100.0%,677,10,113,140,414,"6,207","1,428","4,372",407
,"Rate per 100,000 inhabitants",,400.1,5.9,66.8,82.7,244.7,"3,668.4",844.0,"2,583.9",240.5
"Akron, OH M.S.A.2, 3",,"706,737", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"197,891","1,358",26,171,435,726,"9,061","2,871","5,611",579
,Total area actually reporting,92.3%,"1,864",33,297,533,"1,001",,"4,437",,835
,Estimated total,100.0%,"1,944",34,313,561,"1,036",,"4,678",,882
,"Rate per 100,000 inhabitants",,275.1,4.8,44.3,79.4,146.6,,661.9,,124.8
"Albany, GA M.S.A.3",,"155,769", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties3",,,,,,,,,,
,City of Albany3,"75,858",775,9,26,156,584,"4,196","1,172","2,849",175
,Total area actually reporting,97.7%,939,9,38,175,717,"6,081","1,652","4,154",275
,Estimated total,100.0%,954,9,39,180,726,"6,236","1,679","4,271",286
,"Rate per 100,000 inhabitants",,612.4,5.8,25.0,115.6,466.1,"4,003.4","1,077.9","2,741.9",183.6
"Albany, OR M.S.A.",,"119,734", ,,,,, ,,,
,Includes Linn County,,,,,,,,,,
,City of Albany,"51,889",42,2,10,26,4,"1,675",201,"1,358",116
,Total area actually reporting,100.0%,117,3,18,38,58,"3,818",626,"2,918",274
,"Rate per 100,000 inhabitants",,97.7,2.5,15.0,31.7,48.4,"3,188.7",522.8,"2,437.1",228.8
"Albany-Schenectady-Troy, NY M.S.A.",,"881,039",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
