Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2008",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Abilene, TX M.S.A.",,"159,257", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"116,267",648,7,88,180,373,"4,500","1,206","3,061",233
,Total area actually reporting,100.0%,716,7,95,188,426,"5,124","1,417","3,443",264
,"Rate per 100,000 inhabitants",,449.6,4.4,59.7,118.0,267.5,"3,217.4",889.8,"2,161.9",165.8
"Akron, OH M.S.A.",,"699,914", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"206,845","1,897",17,167,801,912,"10,721","3,770","6,001",950
,Total area actually reporting,92.0%,"2,331",23,265,948,"1,095","21,555","5,865","14,254","1,436"
,Estimated total,100.0%,"2,430",24,282,987,1137,"23,183","6,178","15,489","1,516"
,"Rate per 100,000 inhabitants",,347.2,3.4,40.3,141.0,162.4,"3,312.3",882.7,"2,213.0",216.6
"Albany-Schenectady-Troy, NY M.S.A.",,"856,504",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"94,152","1,033",9,48,361,615,"4,405","1,027","3,153",225
,City of Schenectady,"61,506",654,9,35,288,322,"3,054",925,"1,905",224
,City of Troy,"47,567",392,5,19,152,216,"2,363",600,"1,650",113
,Total area actually reporting,100.0%,"2,808",23,180,956,"1,649","22,040","4,374","16,788",878
,"Rate per 100,000 inhabitants",,327.8,2.7,21.0,111.6,192.5,"2,573.3",510.7,"1,960.1",102.5
"Albuquerque, NM M.S.A.",,"846,731", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"527,464","4,718",38,370,"1,350","2,960","31,994","6,224","21,098","4,672"
,Total area actually reporting,100.0%,"6,763",64,521,"1,594","4,584","41,539","9,589","26,125","5,825"
,"Rate per 100,000 inhabitants",,798.7,7.6,61.5,188.3,541.4,"4,905.8","1,132.5","3,085.4",687.9
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"811,166",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","107,335",805,16,33,497,259,"5,653","1,423","3,738",492
,"City of Bethlehem, PA","72,537",225,0,12,107,106,"2,422",399,"1,885",138
,Total area actually reporting,97.3%,"1,960",23,123,824,990,"20,611","3,655","15,801","1,155"
,Estimated total,100.0%,"2,011",23,126,838,"1,024","21,064","3,723","16,163","1,178"
,"Rate per 100,000 inhabitants",,247.9,2.8,15.5,103.3,126.2,"2,596.8",459.0,"1,992.6",145.2
"Altoona, PA M.S.A.",,"125,036", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,236",183,2,13,67,101,"1,218",369,793,56
,Total area actually reporting,95.8%,359,4,29,88,238,"2,549",632,"1,811",106
,Estimated total,100.0%,371,4,30,91,246,"2,656",648,"1,897",111
,"Rate per 100,000 inhabitants",,296.7,3.2,24.0,72.8,196.7,"2,124.2",518.3,"1,517.2",88.8
"Amarillo, TX M.S.A.",,"244,209", ,,,,, ,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"187,674","1,474",13,122,324,"1,015","10,310","2,419","7,150",741
,Total area actually reporting,100.0%,"1,558",15,134,329,"1,080","11,125","2,626","7,694",805
,"Rate per 100,000 inhabitants",,638.0,6.1,54.9,134.7,442.2,"4,555.5","1,075.3","3,150.6",329.6
"Ames, IA M.S.A.",,"85,516", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"55,249",173,4,26,10,133,"1,636",346,"1,228",62
,Total area actually reporting,100.0%,245,5,38,10,192,"2,297",499,"1,697",101
,"Rate per 100,000 inhabitants",,286.5,5.8,44.4,11.7,224.5,"2,686.0",583.5,"1,984.4",118.1
"Anchorage, AK M.S.A.",,"301,010", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"280,068","2,647",10,263,544,"1,830","9,211","1,191","7,254",766
,Total area actually reporting,100.0%,"2,778",10,265,551,"1,952","10,172","1,276","8,088",808
,"Rate per 100,000 inhabitants",,922.9,3.3,88.0,183.1,648.5,"3,379.3",423.9,"2,687.0",268.4
"Anderson, SC M.S.A.1",,"182,566", ,,,,, ,,,
,Includes Anderson County1,,,,,,,,,,
,City of Anderson,"26,498",195,4,14,62,115,"1,837",341,"1,344",152
,Total area actually reporting,100.0%,"1,198",18,55,204,921,,,"5,810",994
,"Rate per 100,000 inhabitants",,656.2,9.9,30.1,111.7,504.5,,,"3,182.4",544.5
"Ann Arbor, MI M.S.A.",,"350,369", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"115,148",295,0,32,66,197,"3,121",622,"2,353",146
,Total area actually reporting,100.0%,"1,320",11,128,296,885,"9,527","2,301","6,611",615
,"Rate per 100,000 inhabitants",,376.7,3.1,36.5,84.5,252.6,"2,719.1",656.7,"1,886.9",175.5
"Appleton, WI M.S.A.",,"219,912", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"69,975",155,0,20,19,116,"2,217",324,"1,837",56
,Total area actually reporting,100.0%,254,2,41,24,187,"5,551",664,"4,728",159
,"Rate per 100,000 inhabitants",,115.5,0.9,18.6,10.9,85.0,"2,524.2",301.9,"2,150.0",72.3
"Asheville, NC M.S.A.",,"409,862", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"74,215",535,2,33,251,249,"4,268",907,"2,951",410
,Total area actually reporting,99.5%,"1,154",9,94,357,694,"11,648","3,342","7,364",942
,Estimated total,100.0%,"1,164",9,95,360,700,"11,756","3,367","7,442",947
,"Rate per 100,000 inhabitants",,284.0,2.2,23.2,87.8,170.8,"2,868.3",821.5,"1,815.7",231.1
"Athens-Clarke County, GA M.S.A.",,"189,226", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"113,950",535,2,54,204,275,"6,445","1,706","4,374",365
,Total area actually reporting,84.7%,676,3,58,210,405,"8,020","2,015","5,560",445
,Estimated total,100.0%,775,5,64,251,455,"8,970","2,290","6,121",559
,"Rate per 100,000 inhabitants",,409.6,2.6,33.8,132.6,240.5,"4,740.4","1,210.2","3,234.8",295.4
"Atlanta-Sandy Springs-Marietta, GA M.S.A.2",,"5,396,819",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett,2 Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"533,016","7,403",105,126,"3,308","3,864","38,978","9,989","22,499","6,490"
,City of Sandy Springs,"82,953",223,0,17,161,45,"3,118",885,"1,953",280
,City of Marietta,"67,492",399,3,15,248,133,"2,522",616,"1,606",300
,Total area actually reporting,99.9%,"27,006",397,"1,070","11,775","13,764","215,348","58,084","130,313","26,951"
,Estimated total,100.0%,"27,034",397,"1,071","11,785","13,781","215,601","58,136","130,494","26,971"
,"Rate per 100,000 inhabitants",,500.9,7.4,19.8,218.4,255.4,"3,995.0","1,077.2","2,418.0",499.8
"Atlantic City-Hammonton, NJ M.S.A.3",,"271,795", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City3,"39,425",654,12,37,288,317,,,"1,748",160
,City of Hammonton ,"13,558",22,0,0,1,21,211,48,148,15
,Total area actually reporting,100.0%,"1,321",21,67,527,706,,,"7,056",454
,"Rate per 100,000 inhabitants",,486.0,7.7,24.7,193.9,259.8,,,"2,596.1",167.0
"Auburn-Opelika, AL M.S.A.",,"132,798",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Auburn,"55,649",181,2,17,56,106,"2,894","1,022","1,818",54
,City of Opelika,"26,015",326,1,28,100,197,"1,582",456,"1,098",28
,Total area actually reporting,100.0%,617,6,65,183,363,"6,422","2,149","4,064",209
,"Rate per 100,000 inhabitants",,464.6,4.5,48.9,137.8,273.3,"4,835.9","1,618.2","3,060.3",157.4
"Augusta-Richmond County, GA-SC M.S.A.4",,"531,442", ,,,,, ,,,
,"Includes Burke,4 Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,99.3%,,41,252,"1,009",,"25,543","6,222","16,770","2,551"
