Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2010",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Abilene, TX M.S.A.",,"159,566", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"116,938",578,4,68,112,394,"4,897","1,340","3,375",182
,Total area actually reporting,100.0%,675,5,78,116,476,"5,772","1,610","3,925",237
,"Rate per 100,000 inhabitants",,423.0,3.1,48.9,72.7,298.3,"3,617.3","1,009.0","2,459.8",148.5
"Akron, OH M.S.A.",,"698,613", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"205,760","1,665",22,159,602,882,"10,851","4,247","5,855",749
,Total area actually reporting,94.2%,"2,063",26,276,709,"1,052","21,127","6,389","13,637","1,101"
,Estimated total,100.0%,"2,129",26,286,734,"1,083","22,255","6,621","14,493","1,141"
,"Rate per 100,000 inhabitants",,304.7,3.7,40.9,105.1,155.0,"3,185.6",947.7,"2,074.5",163.3
"Albany, GA M.S.A.",,"160,950", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"73,034",722,11,28,203,480,"5,037","1,629","3,108",300
,Total area actually reporting,86.9%,845,13,36,219,577,"6,624","2,093","4,125",406
,Estimated total,100.0%,911,14,40,242,615,"7,263","2,282","4,512",469
,"Rate per 100,000 inhabitants",,566.0,8.7,24.9,150.4,382.1,"4,512.6","1,417.8","2,803.4",291.4
"Albany-Schenectady-Troy, NY M.S.A.",,"851,078",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"92,713",981,2,42,316,621,"4,643",926,"3,488",229
,City of Schenectady,"60,751",679,8,53,256,362,"3,387",856,"2,347",184
,City of Troy,"46,861",423,2,22,137,262,"2,352",656,"1,551",145
,Total area actually reporting,100.0%,"2,642",13,179,838,"1,612","22,925","4,358","17,670",897
,"Rate per 100,000 inhabitants",,310.4,1.5,21.0,98.5,189.4,"2,693.6",512.1,"2,076.2",105.4
"Albuquerque, NM M.S.A.",,"884,210", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"545,389","4,291",42,338,940,"2,971","26,372","5,465","18,134","2,773"
,Total area actually reporting,100.0%,"5,928",51,396,"1,099","4,382","34,450","8,140","22,867","3,443"
,"Rate per 100,000 inhabitants",,670.4,5.8,44.8,124.3,495.6,"3,896.1",920.6,"2,586.2",389.4
"Alexandria, LA M.S.A.",,"155,654", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"49,283",592,4,11,184,393,"3,787",943,"2,714",130
