Table 4,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2016",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"169,885", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"122,523", 546 , 8 , 70 , 133 , 335 ," 4,269 ", 905 ," 3,113 ", 251 
,Total area actually reporting,100.0%, 614 , 11 , 79 , 137 , 387 ," 4,932 "," 1,104 "," 3,530 ", 298 
,"Rate per 100,000 inhabitants",,361.4,6.5,46.5,80.6,227.8,"2,903.1",649.9,"2,077.9",175.4
"Akron, OH M.S.A.2",,"703,561", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"197,257"," 1,216 ", 34 , 212 , 415 , 555 ," 8,646 "," 2,483 "," 5,483 ", 680 
,Total area actually reporting,96.2%," 1,739 ", 41 , 335 , 530 , 833 ," 17,453 "," 3,865 "," 12,599 ", 989 
,Estimated total,100.0%," 1,781 ", 42 , 344 , 544 , 851 ," 18,043 "," 3,963 "," 13,067 "," 1,013 "
,"Rate per 100,000 inhabitants",,253.1,6.0,48.9,77.3,121.0,"2,564.5",563.3,"1,857.3",144.0
"Albany, GA M.S.A.",,"152,566", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"74,330", 873 , 16 , 28 , 204 , 625 ," 3,620 ", 888 ," 2,585 ", 147 
,Total area actually reporting,96.0%," 1,098 ", 18 , 41 , 237 , 802 ," 5,553 "," 1,415 "," 3,934 ", 204 
,Estimated total,100.0%," 1,121 ", 18 , 43 , 244 , 816 ," 5,753 "," 1,449 "," 4,084 ", 220 
,"Rate per 100,000 inhabitants",,734.8,11.8,28.2,159.9,534.9,"3,770.8",949.8,"2,676.9",144.2
"Albany, OR M.S.A.",,"122,030", ,,,,, ,,,
,Includes Linn County,,,,,,,,,,
,City of Albany,"52,544", 43 , 0 , 12 , 21 , 10 ," 1,512 ", 146 ," 1,256 ", 110 
,Total area actually reporting,100.0%, 139 , 0 , 34 , 33 , 72 ," 3,283 ", 462 ," 2,564 ", 257 
,"Rate per 100,000 inhabitants",,113.9,0.0,27.9,27.0,59.0,"2,690.3",378.6,"2,101.1",210.6
"Albany-Schenectady-Troy, NY M.S.A.",,"878,166",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"98,617", 848 , 2 , 59 , 250 , 537 ," 3,461 ", 491 ," 2,858 ", 112 
,City of Schenectady,"65,138", 595 , 6 , 58 , 146 , 385 ," 2,100 ", 378 ," 1,525 ", 197 
,City of Troy,"49,876", 362 , 3 , 25 , 102 , 232 ," 1,792 ", 394 ," 1,308 ", 90 
,Total area actually reporting,100.0%," 2,544 ", 18 , 342 , 603 ," 1,581 "," 17,647 "," 2,472 "," 14,455 ", 720 
