Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"168,908", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"119,886",472,3,38,127,304,"4,393","1,037","3,185",171
,Total area actually reporting,100.0%,555,3,45,136,371,"5,080","1,245","3,631",204
,"Rate per 100,000 inhabitants",,328.6,1.8,26.6,80.5,219.6,"3,007.6",737.1,"2,149.7",120.8
"Akron, OH M.S.A.",,"701,412", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"198,390","1,759",24,167,577,991,"10,034","3,429","5,884",721
,Total area actually reporting,91.6%,"2,144",26,265,700,"1,153","19,709","5,389","13,287","1,033"
,Estimated total,100.0%,"2,227",27,278,732,"1,190","21,287","5,708","14,492","1,087"
,"Rate per 100,000 inhabitants",,317.5,3.8,39.6,104.4,169.7,"3,034.9",813.8,"2,066.1",155.0
"Albany, GA M.S.A.",,"159,370", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"78,512",813,4,27,224,558,"5,001","1,408","3,369",224
,Total area actually reporting,97.8%,"1,054",9,35,253,757,"7,129","2,062","4,741",326
,Estimated total,100.0%,"1,068",9,36,258,765,"7,276","2,090","4,849",337
,"Rate per 100,000 inhabitants",,670.1,5.6,22.6,161.9,480.0,"4,565.5","1,311.4","3,042.6",211.5
"Albany, OR M.S.A.",,"118,961", ,,,,, ,,,
,Includes Linn County,,,,,,,,,,
,City of Albany,"51,084",44,0,10,23,11,"1,580",224,"1,262",94
,Total area actually reporting,100.0%,139,0,25,42,72,"3,739",707,"2,821",211
,"Rate per 100,000 inhabitants",,116.8,0.0,21.0,35.3,60.5,"3,143.0",594.3,"2,371.4",177.4
"Albany-Schenectady-Troy, NY M.S.A.1",,"876,182",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties1",,,,,,,,,,
,City of Albany1,"98,187",802,4,43,249,506,"4,340",887,"3,299",154
,City of Schenectady1,"66,631",626,7,32,199,388,"2,828",810,"1,876",142
,City of Troy1,"50,391",335,7,15,111,202,"2,372",593,"1,677",102
,Total area actually reporting,99.6%,"2,332",23,159,696,"1,454","21,517","4,194","16,665",658
,Estimated total,100.0%,"2,338",23,159,698,"1,458","21,586","4,205","16,721",660
