Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2018",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.2",,"170,417", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"122,480", 591 , 8 , 97 , 104 , 382 ," 3,528 ", 734 ," 2,561 ", 233 
,Total area actually reporting,100.0%, 670 , 9 , 109 , 112 , 440 ," 4,025 ", 910 ," 2,846 ", 269 
,"Rate per 100,000 inhabitants",,393.2,5.3,64.0,65.7,258.2,"2,361.9",534.0,"1,670.0",157.8
"Akron, OH M.S.A.3",,"704,283", ,,,,, ,,,
,Includes Portage3 and Summit Counties,,,,,,,,,,
,City of Akron,"197,690"," 1,704 ", 38 , 221 , 387 ," 1,058 "," 7,159 "," 1,740 "," 4,701 ", 718 
,Total area actually reporting,96.2%," 2,509 ", 45 , 336 , 495 ," 1,633 "," 15,101 "," 2,883 "," 11,194 "," 1,024 "
,Estimated total,100.0%," 2,547 ", 45 , 343 , 514 ," 1,645 "," 15,677 "," 2,927 "," 11,687 "," 1,063 "
,"Rate per 100,000 inhabitants",,361.6,6.4,48.7,73.0,233.6,"2,226.0",415.6,"1,659.4",150.9
"Albany, GA M.S.A.",,"147,142", ,,,,, ,,,
,"Includes Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"72,594", 809 , 15 , 28 , 113 , 653 ," 3,704 ", 760 ," 2,666 ", 278 
,Total area actually reporting,97.9%," 1,069 ", 17 , 45 , 139 , 868 ," 5,402 "," 1,134 "," 3,909 ", 359 
,Estimated total,100.0%," 1,072 ", 17 , 45 , 140 , 870 ," 5,495 "," 1,138 "," 3,995 ", 362 
,"Rate per 100,000 inhabitants",,728.5,11.6,30.6,95.1,591.3,"3,734.5",773.4,"2,715.1",246.0
"Albany-Schenectady-Troy, NY M.S.A.",,"871,741",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"98,322", 823 , 12 , 52 , 209 , 550 ," 3,147 ", 432 ," 2,585 ", 130 
,City of Schenectady,"65,550", 620 , 1 , 57 , 136 , 426 ," 2,106 ", 353 ," 1,542 ", 211 
,City of Troy,"49,491", 283 , 1 , 22 , 93 , 167 ," 1,411 ", 250 ," 1,082 ", 79 
,Total area actually reporting,99.8%," 2,472 ", 19 , 334 , 544 ," 1,575 "," 16,477 "," 1,977 "," 13,797 ", 703 
,Estimated total,100.0%," 2,473 ", 19 , 334 , 544 ," 1,576 "," 16,496 "," 1,978 "," 13,815 ", 703 
,"Rate per 100,000 inhabitants",,283.7,2.2,38.3,62.4,180.8,"1,892.3",226.9,"1,584.8",80.6
"Albuquerque, NM M.S.A.2",,"915,468", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque2,"560,235"," 7,646 ", 69 , 479 ," 1,979 "," 5,119 "," 34,619 "," 6,378 "," 21,625 "," 6,616 "
,Total area actually reporting,100.0%," 9,930 ", 87 , 641 ," 2,181 "," 7,021 "," 41,440 "," 7,964 "," 25,989 "," 7,487 "
,"Rate per 100,000 inhabitants",,"1,084.7",9.5,70.0,238.2,766.9,"4,526.6",869.9,"2,838.9",817.8
"Alexandria, LA M.S.A.",,"152,464", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"47,238", 685 , 12 , 17 , 128 , 528 ," 3,973 ", 996 ," 2,694 ", 283 
,Total area actually reporting,98.8%," 1,174 ", 16 , 70 , 157 , 931 ," 6,414 "," 1,732 "," 4,246 ", 436 
,Estimated total,100.0%," 1,182 ", 16 , 70 , 157 , 939 ," 6,449 "," 1,740 "," 4,272 ", 437 
,"Rate per 100,000 inhabitants",,775.3,10.5,45.9,103.0,615.9,"4,229.9","1,141.3","2,802.0",286.6
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"841,039",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","121,743", 412 , 11 , 49 , 183 , 169 ," 2,821 ", 463 ," 2,100 ", 258 
,"City of Bethlehem, PA","75,809", 207 , 1 , 32 , 50 , 124 ," 1,281 ", 217 ," 1,008 ", 56 
,Total area actually reporting,100.0%," 1,380 ", 16 , 208 , 347 , 809 ," 12,097 "," 1,706 "," 9,695 ", 696 
,"Rate per 100,000 inhabitants",,164.1,1.9,24.7,41.3,96.2,"1,438.3",202.8,"1,152.7",82.8
"Altoona, PA M.S.A.",,"122,830", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"43,840", 165 , 3 , 67 , 27 , 68 , 686 , 188 , 464 , 34 
,Total area actually reporting,100.0%, 284 , 3 , 88 , 32 , 161 ," 1,317 ", 285 , 987 , 45 
,"Rate per 100,000 inhabitants",,231.2,2.4,71.6,26.1,131.1,"1,072.2",232.0,803.5,36.6
"Amarillo, TX M.S.A.2",,"266,043", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter,2 and Randall Counties",,,,,,,,,,
,City of Amarillo,"201,082"," 1,622 ", 12 , 199 , 305 ," 1,106 "," 8,433 "," 1,527 "," 5,996 ", 910 
,Total area actually reporting,100.0%," 1,757 ", 13 , 235 , 312 ," 1,197 "," 9,116 "," 1,685 "," 6,458 ", 973 
,"Rate per 100,000 inhabitants",,660.4,4.9,88.3,117.3,449.9,"3,426.5",633.4,"2,427.4",365.7
"Anchorage, AK M.S.A.",,"309,917", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"291,992"," 3,824 ", 26 , 613 , 717 ," 2,468 "," 14,389 "," 2,068 "," 9,498 "," 2,823 "
,Total area actually reporting,100.0%," 3,916 ", 26 , 620 , 729 ," 2,541 "," 15,548 "," 2,180 "," 10,359 "," 3,009 "
,"Rate per 100,000 inhabitants",,"1,263.6",8.4,200.1,235.2,819.9,"5,016.8",703.4,"3,342.5",970.9
"Ann Arbor, MI M.S.A.",,"371,644", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"122,571", 270 , 2 , 55 , 45 , 168 ," 1,932 ", 215 ," 1,650 ", 67 
,Total area actually reporting,100.0%," 1,199 ", 13 , 245 , 147 , 794 ," 5,560 ", 843 ," 4,382 ", 335 
,"Rate per 100,000 inhabitants",,322.6,3.5,65.9,39.6,213.6,"1,496.1",226.8,"1,179.1",90.1
"Anniston-Oxford, AL M.S.A.",,"114,180",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"21,592", 646 , 7 , 43 , 68 , 528 ," 1,696 ", 413 ," 1,131 ", 152 
,City of Oxford,"17,000", 54 , 0 , 1 , 9 , 44 , 746 , 89 , 633 , 24 
,Total area actually reporting,99.3%, 829 , 8 , 55 , 96 , 670 ," 3,180 ", 695 ," 2,276 ", 209 
,Estimated total,100.0%, 829 , 8 , 55 , 96 , 670 ," 3,184 ", 695 ," 2,280 ", 209 
,"Rate per 100,000 inhabitants",,726.0,7.0,48.2,84.1,586.8,"2,788.6",608.7,"1,996.8",183.0
"Appleton, WI M.S.A.",,"237,722", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
